titre,entreprise,localisation,contrat,secteur,experience,formation,date_publication,description,lien
Superviseur Logistique (Last Mile),Groupe Label'Vie - Carrefour,Tanger (Maroc),CDI,Distribution,"Lancer 4K Superviseur Logistique (Last Mile) | Tanger (Maroc) 7 Atacadao recrute un Superviseur Logistique (Last Mile) pour optimiser l'expérience client et la performance des livraisons. Vous piloterez l'activité, adapterez les ressources et suivrez","Lancer 4K Superviseur Logistique (Last Mile) | Tanger (Maroc) 7 Atacadao recrute un Superviseur Logistique (Last Mile) pour optimiser l'expérience client et la performance des livraisons. Vous piloterez l'activité, adapterez les ressources et suivrez",13/04/2026,"Emploi - Groupe Label'Vie - Carrefour Entreprise: Groupe Label'Vie - Carrefour Secteur: Distribution Postes proposés: 244 Description: Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc.

En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour... [+] Créé en 1986 et côté à la Bourse de Casablanca depuis 2008, le Groupe marocain LabelVie est un acteur économique de référence et leader de la grande distribution au Maroc. En 2009, à travers la signature du contrat de franchise avec le Groupe Carrefour, il accède à sa centrale d’achat pour optimiser et diversifier son sourcing. Il devient ainsi le premier acteur multi-formats de la grande distribution au Maroc par l’exploitation des hypermarchés Carrefour, des supermarchés Carrefour Market et du format hyper cash Atacadao. Le Groupe LabelVie présente chaque année",https://www.rekrute.com/groupe-labelvie---carrefour-emploi-recrutement-4719.html
Gestionnaire Clientèle - Réseau Kénitra & Gharb (H/F),,Kénitra / Tiflet / Sidi Slimane / Sidi Kacem / Souk Arbaâ (Maroc),CDI,,"Lancer 4K Gestionnaire Clientèle - Réseau Kénitra & Gharb (H/F) | Kénitra / Tiflet / Sidi Slimane / Sidi Kacem / Souk Arbaâ (Maroc) Avec son modèle de banque universelle, sa dimension panafricaine, la complémentarité de ses métiers et ses expertises ","Lancer 4K Gestionnaire Clientèle - Réseau Kénitra & Gharb (H/F) | Kénitra / Tiflet / Sidi Slimane / Sidi Kacem / Souk Arbaâ (Maroc) Avec son modèle de banque universelle, sa dimension panafricaine, la complémentarité de ses métiers et ses expertises ",13/04/2026,"1                        - 10 sur 47 10 25 50 Page 1 2 3 4 5 sur            
             5 Lancer 4K Gestionnaire Clientèle - Réseau Kénitra & Gharb (H/F) | Kénitra / Tiflet / Sidi Slimane / Sidi Kacem / Souk Arbaâ (Maroc) Avec son modèle de banque universelle, sa dimension panafricaine, la complémentarité de ses métiers et ses expertises solides, le groupe Attijariwafa bank est un acteur de référence du secteur financier au Maroc et... Dans le cadre de développement de notre activité, nous recherchons des Gestionnaires Clientèles dynamiques et motivé(es). Si vous répondez à ces critères et que vous souhaitez évoluer dans un... Publication : du 13/04/2026 au 13/06/2026 |  Postes proposés: 20 Secteur d'activité : Banque / Finance Fonction : Banque (métiers de la) Expérience requise : Débutant (-1 an) Niveau d'étude demandé : Bac +3 Type de contrat proposé : Autre - Télétravail : Non Lancer 4K Gestionnaire Clientèle - Réseau Rabat Salé Temara (H/F) | Rabat / Salé / Temara (Maroc) Avec son modèle de banque universelle, sa dimension panafricaine, la complémentarité de ses métiers et ses expertises solides, le groupe Attijariwafa bank est un acteur de référence du secteur financier au ",https://www.rekrute.com/attijariwafa-bank-emploi-recrutement-1523.html
Ingénieur Support Réseaux et Telecom BtoB (H/F),BTechnologie,Rabat (Maroc),CDI,Informatique,"Lancer 4K Ingénieur Support Réseaux et Telecom BtoB (H/F) | Rabat (Maroc) BTECHNOLOGIE est un centre d’excellence premium au service de Bouygues Telecom filiale du groupe Accenture, visant à augmenter sa capacité de delivery, à améliorer la qualité p","Lancer 4K Ingénieur Support Réseaux et Telecom BtoB (H/F) | Rabat (Maroc) BTECHNOLOGIE est un centre d’excellence premium au service de Bouygues Telecom filiale du groupe Accenture, visant à augmenter sa capacité de delivery, à améliorer la qualité p",13/04/2026,"Emploi - BTechnologie Entreprise: BTechnologie Secteur: Informatique Postes proposés: 38 Description: BTECHNOLOGIE est un centre d’excellence premium au service de Bouygues Telecom filiale du groupe Accenture, visant à augmenter sa capacité de delivery, à améliorer la qualité perçue par ses clients finaux et à accompagner la croissance technologique dans une perspective d’économie décarbonée. Aujourd'hui, le centre compte plus de 500 talents et ambitionne d’atteindre les 1000 talents d’ici 2026.

Envie de nouvelles perspectives de carrière ?

Nous vous invitons à rejoindre notre... [+] BTECHNOLOGIE est un centre d’excellence premium au service de Bouygues Telecom filiale du groupe Accenture, visant à augmenter sa capacité de delivery, à améliorer la qualité perçue par ses clients finaux et à accompagner la croissance technologique dans une perspective d’économie décarbonée. Aujourd'hui, le centre compte plus de 500 talents et ambitionne d’atteindre les 1000 talents d’ici 2026. Envie de nouvelles perspectives de carrière ? Nous vous invitons à rejoindre notre centre d'excellence à Rabat, où vous participerez à des projets d'envergure avec une vision à long terme. Chaque jour est une",https://www.rekrute.com/btechnologie-emploi-recrutement-345673.html
Responsable Social H/F,AZURA GROUP,Agadir (Maroc),CDI,Agroalimentaire,"Lancer 4K Responsable Social H/F | Agadir (Maroc) Azura recrute un Responsable Social H/F pour garantir la gestion globale des aspects sociaux, l'application des politiques et la conformité légale. Ce poste stratégique implique le conseil juridique, ","Lancer 4K Responsable Social H/F | Agadir (Maroc) Azura recrute un Responsable Social H/F pour garantir la gestion globale des aspects sociaux, l'application des politiques et la conformité légale. Ce poste stratégique implique le conseil juridique, ",13/04/2026,"Emploi - AZURA GROUP Entreprise: AZURA GROUP Secteur: Agroalimentaire Postes proposés: 7 Description: Azura est un groupe international familial privé, spécialisé dans les filières des fruits & légumes et de l’aquaculture, et figure parmi les leaders mondiaux de la production de tomates cerises. Forts de l’engagement de nos 21 000 collaborateurs et d’un savoir-faire unique, nous cultivons le bon pour la planète, pour nos consommateurs, pour nos équipes et pour les générations futures.

	Notre stratégie RSE s’étend à l’ensemble de notre chaîne de valeur du champ... [+] Azura est un groupe international familial privé, spécialisé dans les filières des fruits & légumes et de l’aquaculture, et figure parmi les leaders mondiaux de la production de tomates cerises. Forts de l’engagement de nos 21 000 collaborateurs et d’un savoir-faire unique, nous cultivons le bon pour la planète, pour nos consommateurs, pour nos équipes et pour les générations futures. Notre stratégie RSE s’étend à l’ensemble de notre chaîne de valeur du champ à l'assiette tout en impliquant activement tous les collaborateurs du groupe. Nos engagements de cultiver le bon pour tous est le ciment de notre culture et de n",https://www.rekrute.com/azura-group-emploi-recrutement-157896.html
Consultant en comptabilité française (H/F),PwC,Casablanca (Maroc),CDI,Conseil / Etudes,"Lancer 4K Consultant en comptabilité française (H/F) | Casablanca (Maroc) 8 PwC recherche des Consultants en comptabilité française (H/F) à Casablanca pour rejoindre leur équipe OpSol. Vos missions incluront la gestion des opérations comptables, anal","Lancer 4K Consultant en comptabilité française (H/F) | Casablanca (Maroc) 8 PwC recherche des Consultants en comptabilité française (H/F) à Casablanca pour rejoindre leur équipe OpSol. Vos missions incluront la gestion des opérations comptables, anal",13/04/2026,"Emploi - PwC Entreprise: PwC Secteur: Conseil / Etudes Postes proposés: 16 Description: PwC est le leader mondial sur le marché de l’audit financier, et compte plus de 236 000 collaborateurs dans le monde.

Il réalise des missions d'audit, d'expertise comptable et de conseil pour des organisations de toutes tailles et de tous secteurs d’activité.

Succursale de PwC audit France, PwC Services (SDC Casablanca) a été créé en 2011 et installée à Casanearshore, dans le but de réaliser à distance un certain nombre de services.

Forte de plus de 140 collaborateurs, PwC Services... [+] PwC est le leader mondial sur le marché de l’audit financier, et compte plus de 236 000 collaborateurs dans le monde. Il réalise des missions d'audit, d'expertise comptable et de conseil pour des organisations de toutes tailles et de tous secteurs d’activité. Succursale de PwC audit France, PwC Services (SDC Casablanca) a été créé en 2011 et installée à Casanearshore, dans le but de réaliser à distance un certain nombre de services. Forte de plus de 140 collaborateurs, PwC Services opère aujourd’hui dans des missions d’audit et de commissariat aux comptes dédiés au marché français.  Ses équipes possèdent une",https://www.rekrute.com/pwc-emploi-recrutement-335099.html
Palefrenier,Sorec,Maroc (Maroc),CDI,Autres services,"Lancer 4K Palefrenier | Maroc (Maroc) SOREC recrute un Palefrenier pour assurer le bien-être quotidien des chevaux dans un haras/centre de reproduction. Vos missions incluront l'alimentation, les soins corporels, la surveillance de la santé, l'assist","Lancer 4K Palefrenier | Maroc (Maroc) SOREC recrute un Palefrenier pour assurer le bien-être quotidien des chevaux dans un haras/centre de reproduction. Vos missions incluront l'alimentation, les soins corporels, la surveillance de la santé, l'assist",13/04/2026,"Emploi - Sorec Entreprise: Sorec Secteur: Autres services Postes proposés: 22 Description: Créée en 2003, sous la tutelle du Ministère de l’Agriculture et de la Pêche Maritime,  la Société Royale d’Encouragement du Cheval (SOREC) a pour principales missions l’encadrement de l’élevage, le développement des courses hippiques et la gestion des jeux hippiques au Maroc.

De par sa mission, la SOREC assure l’encadrement des sociétés hippiques, supporte les programmes d’élevage en tant que partenaire des associations des éleveurs et veille à... [+] Créée en 2003, sous la tutelle du Ministère de l’Agriculture et de la Pêche Maritime,  la Société Royale d’Encouragement du Cheval (SOREC) a pour principales missions l’encadrement de l’élevage, le développement des courses hippiques et la gestion des jeux hippiques au Maroc. De par sa mission, la SOREC assure l’encadrement des sociétés hippiques, supporte les programmes d’élevage en tant que partenaire des associations des éleveurs et veille à l’amélioration des infrastructures hippiques nationales. Ajouté à cela, la SOREC est engagée dans une politique visant l’amélioration de la compétitivité de l’élevage marocain et la dynamisation du march",https://www.rekrute.com/sorec-emploi-recrutement-107675.html
Directeur Administratif et Financier  Casablanca,Vital Fer,Casablanca (Maroc),CDI,Métallurgie / Sidérurgie,"Lancer 4K Directeur Administratif et Financier  Casablanca | Casablanca (Maroc) VITAL FER recherche un Directeur Administratif et Financier expérimenté à Casablanca. Vous piloterez la performance financière, superviserez la comptabilité et la trésore","Lancer 4K Directeur Administratif et Financier  Casablanca | Casablanca (Maroc) VITAL FER recherche un Directeur Administratif et Financier expérimenté à Casablanca. Vous piloterez la performance financière, superviserez la comptabilité et la trésore",13/04/2026,"Emploi - Vital Fer Entreprise: Vital Fer Secteur: Métallurgie / Sidérurgie Postes proposés: 3 Description: VITAL FER est un acteur de référence incontournable dans la distribution des produits métallurgiques et des matériaux de construction au Maroc.

Fort d'une infrastructure logistique massive, notre site principal est implanté sur plus de 60 000 m². Cette capacité de stockage exceptionnelle, couplée à une gestion rigoureuse des flux, nous permet de répondre avec réactivité aux demandes les plus exigeantes du marché national, qu'il s'agisse de grands projets d'infrastructure ou de chantiers... [+] VITAL FER est un acteur de référence incontournable dans la distribution des produits métallurgiques et des matériaux de construction au Maroc. Fort d'une infrastructure logistique massive, notre site principal est implanté sur plus de 60 000 m². Cette capacité de stockage exceptionnelle, couplée à une gestion rigoureuse des flux, nous permet de répondre avec réactivité aux demandes les plus exigeantes du marché national, qu'il s'agisse de grands projets d'infrastructure ou de chantiers résidentiels. Notre Mission Accompagner le développement du tissu économique national en fournissant ",https://www.rekrute.com/vital-fer-emploi-recrutement-349069.html
Administration des ventes / SAV- Commercial / Vente / Export- Secteur Telecom,,,CDI,,,"Bac +5 et plus Maximum
                                     - Master                                     - Université",,"Attachés Commerciaux B2B - Casablanca Administration des ventes / SAV - Commercial / Vente / Export - Secteur Telecom Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Tout le Maroc                                     - Maroc Bac +5 et plus Maximum
                                     - Master                                     - Université Recherche de nouveauté Extraversion Volonté de persuasion Ténacité Besoin d'autonomie Implication au travail Ambition Improvisation CDI Télétravail : Non Publiée aujourd'hui sur ReKrute.com -
                                Postulez avant le 13/06/2026 J'aime Entreprise : Vous avez l’ambition de performer au sein d’un groupe iconique ? Rejoignez un acteur télécom leader sur le marché, qui renforce ses équipes commerciales à travers le Royaume. Nous recherchons des talents dynamiques, prêts à relever des défis, développer la relation client et faire la différence. Avec votre talent et la puissance de notre marque, votre carrière prend son envol. Poste : Vous développez durablement le portefeuille clients entreprises (B2B) en",https://www.rekrute.com/offre-emploi-attaches-commerciaux-b2b-recrutement-confidentiel-casablanca-181723.html?#matching4K
Chargé(e) des Opérations RH,Jardin Majorelle,Marrakech (Maroc),CDI,Tourisme / Voyage / Loisirs,"Lancer 4K Chargé(e) des Opérations RH | Marrakech (Maroc) Le Jardin Majorelle et le Musée Yves Saint Laurent Marrakech recherchent un(e) Chargé(e) des Opérations RH pour gérer l'administration du personnel, la paie, le recrutement et la formation. Ce","Lancer 4K Chargé(e) des Opérations RH | Marrakech (Maroc) Le Jardin Majorelle et le Musée Yves Saint Laurent Marrakech recherchent un(e) Chargé(e) des Opérations RH pour gérer l'administration du personnel, la paie, le recrutement et la formation. Ce",13/04/2026,"Emploi - Jardin Majorelle Entreprise: Jardin Majorelle Secteur: Tourisme / Voyage / Loisirs Postes proposés: 5 Description: Le Jardin Majorelle, le Musée Yves Saint Laurent Marrakech et le Musée Pierre Bergé des Arts Berbères forment un ensemble culturel et artistique unique au cœur de Marrakech.

Entre nature, art et patrimoine, nos trois sites — parmi les destinations culturelles les plus visitées au monde, accueillent chaque année un nombre exceptionnel de visiteurs venus du monde entier, et offrent une expérience immersive où la beauté des jardins, la création artistique et la richesse des cultures se rencontrent... [+] Le Jardin Majorelle, le Musée Yves Saint Laurent Marrakech et le Musée Pierre Bergé des Arts Berbères forment un ensemble culturel et artistique unique au cœur de Marrakech. Entre nature, art et patrimoine, nos trois sites — parmi les destinations culturelles les plus visitées au monde, accueillent chaque année un nombre exceptionnel de visiteurs venus du monde entier, et offrent une expérience immersive où la beauté des jardins, la création artistique et la richesse des cultures se rencontrent harmonieusement. Imaginés, préservés et magnifiés par Pierre Bergé e",https://www.rekrute.com/jardin-majorelle-emploi-recrutement-320960.html
Administration des ventes / SAV- Commercial / Vente / Export- Secteur Telecom,,,CDI,,,"Bac +5 et plus Maximum
                                     - Master                                     - Université",,"Attachés Commerciaux B2C - Casablanca Administration des ventes / SAV - Commercial / Vente / Export - Secteur Telecom Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Tout le Maroc                                     - Maroc Bac +5 et plus Maximum
                                     - Master                                     - Université Recherche de nouveauté Extraversion Volonté de persuasion Implication au travail Ambition Improvisation CDI Télétravail : Non Publiée aujourd'hui sur ReKrute.com -
                                Postulez avant le 13/06/2026 J'aime Entreprise : Vous avez l’ambition de performer au sein d’un groupe iconique ? Rejoignez un acteur télécom leader sur le marché, qui renforce ses équipes commerciales à travers le Royaume. Nous recherchons des talents dynamiques, prêts à relever des défis, développer la relation client et faire la différence. Avec votre talent et la puissance de notre marque, votre carrière prend son envol. Poste : Vous êtes le moteur commercial de l’agence. En prospection active (terrain et téléphone) comme en co",https://www.rekrute.com/offre-emploi-attaches-commerciaux-b2c-recrutement-confidentiel-casablanca-181721.html?#matching4K
Ingénieur DevOps (F/H),,Rabat (Maroc),CDI,,"Lancer 4K Ingénieur DevOps (F/H) | Rabat (Maroc) Sofrecom recrute un Ingénieur DevOps (H/F) pour automatiser le déploiement d'infrastructure IT On-Premise. Vous utiliserez des outils comme Ansible, Python et Terraform pour migrer les processus exista","Lancer 4K Ingénieur DevOps (F/H) | Rabat (Maroc) Sofrecom recrute un Ingénieur DevOps (H/F) pour automatiser le déploiement d'infrastructure IT On-Premise. Vous utiliserez des outils comme Ansible, Python et Terraform pour migrer les processus exista",13/04/2026,"1                        - 10 sur 36 10 25 50 Page 1 2 3 4 sur            
             4 Lancer 4K Ingénieur DevOps (F/H) | Rabat (Maroc) Sofrecom recrute un Ingénieur DevOps (H/F) pour automatiser le déploiement d'infrastructure IT On-Premise. Vous utiliserez des outils comme Ansible, Python et Terraform pour migrer les processus existants. Poste basé au Maroc avec une formation Bac+5 et 6 ans d'expérience minimum en automatisation requis. Publication : du 13/04/2026 au 13/06/2026 Secteur d'activité : Telecom Fonction : Informatique / Electronique Expérience requise : Confirmé (5 à 10 ans) Niveau d'étude demandé : Bac +5 et plus Type de contrat proposé : CDI - Télétravail : Hybride Lancer 4K Data Engineer (F/H) | Casablanca (Maroc) Sofrecom, filiale du groupe Orange, recrute un Data Engineer (H/F) pour proposer des solutions logicielles adaptées et assurer leur mise en place. Vous maîtriserez les technologies Big Data (SQL, NoSQL, Scala, Spark, etc.), la gestion de configuration et les méthodes Agile. Rejoignez une équipe dynamique pour des projets passionnants dans le domaine des télécommunications. Publication : du 10/04/2026 au 10/06/2026 |  Postes proposés: 1 Secteur d'activi",https://www.rekrute.com/sofrecom-maroc-emploi-recrutement-3292.html
Stagiaires Bac+2/Bac+3 - 2026 (Casablanca & Tanger),Akkodis Maroc,Casablanca (Maroc),STAGE,Informatique,"Lancer 4K Stagiaires Bac+2/Bac+3 - 2026 (Casablanca & Tanger) | Casablanca (Maroc) Akkodis recherche des stagiaires Bac+2/Bac+3 pour des stages de 2-3 mois à Casablanca et Tanger. Participez aux activités administratives, RH, financières, informatiqu","Lancer 4K Stagiaires Bac+2/Bac+3 - 2026 (Casablanca & Tanger) | Casablanca (Maroc) Akkodis recherche des stagiaires Bac+2/Bac+3 pour des stages de 2-3 mois à Casablanca et Tanger. Participez aux activités administratives, RH, financières, informatiqu",13/04/2026,"Emploi - Akkodis Maroc Entreprise: Akkodis Maroc Secteur: Informatique Postes proposés: 83 Description: Akkodis est un leader mondial sur le marché de l'ingénierie et de la R&D qui s'appuie sur la puissance des données connectées pour accélérer l'innovation et la transformation numérique.

Avec une passion commune pour la technologie et le talent, 50 000 ingénieurs et experts numériques offrent une expertise intersectorielle approfondie dans 30 pays d'Amérique du Nord, d'EMEA et d'APAC. Akkodis offre une vaste expérience de l'industrie, et un solide savoir-faire dans des secteurs... [+] Akkodis est un leader mondial sur le marché de l'ingénierie et de la R&D qui s'appuie sur la puissance des données connectées pour accélérer l'innovation et la transformation numérique. Avec une passion commune pour la technologie et le talent, 50 000 ingénieurs et experts numériques offrent une expertise intersectorielle approfondie dans 30 pays d'Amérique du Nord, d'EMEA et d'APAC. Akkodis offre une vaste expérience de l'industrie, et un solide savoir-faire dans des secteurs technologiques clés tels que la mobilité, les logiciels et services technologiques, la robotique, les tests, les simulations",https://www.rekrute.com/akkodis-maroc-emploi-recrutement-4309.html
Tech Lead Data,Ipanema consulting,Casablanca (Maroc),CDI,Informatique,"Lancer 4K Tech Lead Data | Casablanca (Maroc) IPANEMA recrute un Tech Lead Data à Casablanca. Vous dirigerez une équipe de 1 à 4 développeurs, gérerez des projets data complexes incluant la mise en place de KPI, la conception de modèles de données an","Lancer 4K Tech Lead Data | Casablanca (Maroc) IPANEMA recrute un Tech Lead Data à Casablanca. Vous dirigerez une équipe de 1 à 4 développeurs, gérerez des projets data complexes incluant la mise en place de KPI, la conception de modèles de données an",13/04/2026,"Emploi - Ipanema consulting Entreprise: Ipanema consulting Secteur: Informatique Postes proposés: 12 Description: IPANEMA est un cabinet d’accompagnement à la transformation numérique qui fédère des talents autour du développement web, de la Data, ainsi que du Cloud. Au sein d’IPANEMA, la révolution numérique est une opportunité à saisir pour chaque entreprise. Nous plaçons la technologie et l’humain au cœur de la transition numérique

Avec plus de 30 ans d’expérience dans le domaine informatique, le projet d’Ipanema est d’accompagner les entreprises à 360° dans la... [+] IPANEMA est un cabinet d’accompagnement à la transformation numérique qui fédère des talents autour du développement web, de la Data, ainsi que du Cloud. Au sein d’ IPANEMA , la révolution numérique est une opportunité à saisir pour chaque entreprise. Nous plaçons la technologie et l’humain au cœur de la transition numérique Avec plus de 30 ans d’expérience dans le domaine informatique, le projet d’ Ipanema est d’accompagner les entreprises à 360° dans la transformation digitale. Nos équipes s’engagent à proposer les solutions les plus pertinentes. Ceci afin d’améliorer l’image, la visibilité et la productivité de",https://www.rekrute.com/ipanema-consulting-emploi-recrutement-339952.html
Chef de Département Achats,Fondation Arrawaj,Rabat (Maroc),CDI,Banque / Finance,"Lancer 4K Chef de Département Achats | Rabat (Maroc) 1 La Fondation Arrawaj recherche un Chef de Département Achats expérimenté (10 ans minimum) basé au Maroc. Vous piloterez la stratégie achats, gérerez une équipe et assurerez l'optimisation des coû","Lancer 4K Chef de Département Achats | Rabat (Maroc) 1 La Fondation Arrawaj recherche un Chef de Département Achats expérimenté (10 ans minimum) basé au Maroc. Vous piloterez la stratégie achats, gérerez une équipe et assurerez l'optimisation des coû",13/04/2026,"Emploi - Fondation Arrawaj Entreprise: Fondation Arrawaj Secteur: Banque / Finance Postes proposés: 244 Description: Avec plus de 30 ans d’expertise, la Fondation Arrawaj est un acteur économique et social majeur dans le secteur de la micro-finance. 

Basée au Maroc et avec plus de 2 000 collaborateurs répartis sur plus de 260 agences et 15 régions, la Fondation Arrawaj est fière de contribuer à l’inclusion financière des porteurs de projets et des micro-entrepreneurs exclus des circuits de financements classiques en leur offrant des produits et des services diversifiés, de proximité, adaptés et innovants.

Le... [+] Avec plus de 30 ans d’expertise, la Fondation Arrawaj est un acteur économique et social majeur dans le secteur de la micro-finance. Basée au Maroc et avec plus de 2 000 collaborateurs répartis sur plus de 260 agences et 15 régions , la Fondation Arrawaj est fière de contribuer à l’inclusion financière des porteurs de projets et des micro-entrepreneurs exclus des circuits de financements classiques en leur offrant des produits et des services diversifiés, de proximité, adaptés et innovants. Le succès de notre institution repose sur un socle de valeurs fondamentales qui",https://www.rekrute.com/fondation-arrawaj-emploi-recrutement-330973.html
Ingénieur Réseaux et Sécurité Informatique,HUIR - L'Hôpital Universitaire International de Rabat,Rabat (Maroc),CDI,Pharmacie / Santé,Lancer 4K Ingénieur Réseaux et Sécurité Informatique | Rabat (Maroc) L'Hôpital Universitaire International de Rabat recherche un Ingénieur Réseaux et Sécurité Informatique avec 5 ans d'expérience minimum. Vos missions incluront l'administration des i,Lancer 4K Ingénieur Réseaux et Sécurité Informatique | Rabat (Maroc) L'Hôpital Universitaire International de Rabat recherche un Ingénieur Réseaux et Sécurité Informatique avec 5 ans d'expérience minimum. Vos missions incluront l'administration des i,13/04/2026,"Emploi - HUIR - L'Hôpital Universitaire International de Rabat Entreprise: HUIR - L'Hôpital Universitaire International de Rabat Secteur: Pharmacie / Santé Postes proposés: 140 Description: L'Hôpital Universitaire International de Rabat (HUIR), affilié à l'Université Internationale de Rabat (UIR), est un nouveau centre hospitalo-universitaire qui ouvrira ses portes prochainement. Ce centre d'excellence proposera une quarantaine de spécialités médicales et chirurgicales, équipées d'un plateau biomédical de dernière génération. Avec une capacité d'accueil de 450 lits et places, cet hôpital futuriste représente un investissement d'environ 2 milliards... [+] L'Hôpital Universitaire International de Rabat (HUIR), affilié à l'Université Internationale de Rabat (UIR), est un nouveau centre hospitalo-universitaire qui ouvrira ses portes prochainement. Ce centre d'excellence proposera une quarantaine de spécialités médicales et chirurgicales, équipées d'un plateau biomédical de dernière génération. Avec une capacité d'accueil de 450 lits et places, cet hôpital futuriste représente un investissement d'environ 2 milliards de dirhams et emploiera à terme plus de 1 200 salariés. Nous vous offro",https://www.rekrute.com/huir---lhopital-universitaire-international-de-rabat-emploi-recrutement-343150.html
Contrôleur de Paie Française,Manpower Agences,Casablanca (Maroc),CDD,Recrutement / Intérim,"Lancer 4K Contrôleur de Paie Française | Casablanca (Maroc) Manpower Group recherche un Contrôleur de Paie Française basé au Maroc. Vos missions incluront le contrôle de la paie selon la législation française, la saisie et la conformité des bulletins","Lancer 4K Contrôleur de Paie Française | Casablanca (Maroc) Manpower Group recherche un Contrôleur de Paie Française basé au Maroc. Vos missions incluront le contrôle de la paie selon la législation française, la saisie et la conformité des bulletins",13/04/2026,"Emploi - Manpower Agences Entreprise: Manpower Agences Secteur: Recrutement / Intérim Postes proposés: 113 Description: Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune.

Nos équipes sont formées pour appuyer les entreprises dans la promotion de l’excellence en matière de gestion du capital humain : Intérim, CDD/CDI, Solutions & Ingénierie RH, Développement du capital humain…    

Pour nos... [+] Présent depuis 1997 au Maroc, Manpower Group est un acteur international incontournable de l’emploi et de l’insertion sociale dans le monde. Au sein du Royaume Chérifien, nous couvrons l’ensemble du territoire, de Tanger à Laayoune. Nos équipes sont formées pour appuyer les entreprises dans la promotion de l’excellence en matière de gestion du capital humain : Intérim, CDD/CDI, Solutions & Ingénierie RH, Développement du capital humain… Pour nos salariés intérimaires , nous proposons une expérience unique, notamment avec la déclaration de 100% des heures travaillées, la mise en place d’une mutuelle pour tous e",https://www.rekrute.com/manpower-agences-emploi-recrutement-1498.html
Commercial Terrain CHR (Alimentaire & Boissons),Foods and Goods,Tout le Maroc (Maroc),CDI,Agroalimentaire,Lancer 4K Commercial Terrain CHR (Alimentaire & Boissons) | Tout le Maroc (Maroc) Foods & Goods recherche des Commerciaux Terrain CHR (Alimentaire ou Boissons) dans toutes les zones du Maroc. Vos missions incluent le développement et la fidélisation ,Lancer 4K Commercial Terrain CHR (Alimentaire & Boissons) | Tout le Maroc (Maroc) Foods & Goods recherche des Commerciaux Terrain CHR (Alimentaire ou Boissons) dans toutes les zones du Maroc. Vos missions incluent le développement et la fidélisation ,13/04/2026,"Emploi - Foods and Goods Entreprise: Foods and Goods Secteur: Agroalimentaire Postes proposés: 39 Description: Depuis 30 ans, Foods & Goods est un des leader national dans l’importation, la distribution et la construction de marques de produits alimentaires et boissons (alcoolisées et non alcoolisées).

Présent sur toutes les catégories de produits, Foods & Goods veut mettre en avant, à tous les niveaux l’excellence de ses marques, de ses équipes et de son savoir-faire.

Ses collaborateurs et son management s’engagent sur les valeurs suivantes : culture du... [+] Depuis 30 ans, Foods & Goods est un des leader national dans l’importation, la distribution et la construction de marques de produits alimentaires et boissons (alcoolisées et non alcoolisées). Présent sur toutes les catégories de produits, Foods & Goods veut mettre en avant, à tous les niveaux l’excellence de ses marques, de ses équipes et de son savoir-faire. Ses collaborateurs et son management s’engagent sur les valeurs suivantes : culture du résultat , exigence , professionnalisme , intégrité , passion et esprit d’équipe. [-] Suivre 1                        - 10 sur 10 10 Page 1 sur            
             1 Lancer 4K",https://www.rekrute.com/foods-and-goods-emploi-recrutement-1144.html
